Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Death_Count,Crash_Non.Suspected_Serious_Injury_Count,Crash_Not_Injured_Count,Crash_Possible_Injury_Count,Crash_Severity,Crash_Suspected_Serious_Injury_Count,Crash_Total_Injury_Count,Crash_Unknown_Injury_Count,Latitude,Longitude,Street_Name,Street_Number,Driver_Alcohol_Result,Driver_Blood_Alcohol_Content_Test_Result,Driver_Drug_Test_Result,Unit_Death_Count,Unit_Description,Unit_Non.Suspected_Serious_Injury_Count,Unit_Not_Injured_Count,Unit_Possible_Injury_Count,Unit_Suspected_Serious_Injury_Count,Unit_Total_Injury_Count,Unit_Unknown_Injury_Count,Person_Age,Person_Death_Count,Person_Ethnicity,Person_Gender,Person_Injury_Severity,Person_Not_Injured_Count,Person_Possible_Injury_Count,Person_Suspected_Serious_Injury_Count,Person_Total_Injury_Count,Person_Type,Crash_Month,Crash_Year
13051927,FALSE,1/1/13,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.41666888,-98.53977394,TAMPICO ST,2995,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,13,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,January,2013
13060521,FALSE,1/2/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.4260584,-98.51584892,BUENA VISTA ST,1602,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,92,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,January,2013
13060530,TRUE,1/4/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.37504497,-98.53415074,SL0353,100,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,11,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,January,2013
13117580,TRUE,1/30/13,0,2,1,0,B - SUSPECTED MINOR INJURY,0,2,0,29.40260493,-98.40545133,SL0013,1738,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,36,0,W - WHITE,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,January,2013
13117580,TRUE,1/30/13,0,2,1,0,B - SUSPECTED MINOR INJURY,0,2,0,29.40260493,-98.40545133,SL0013,1738,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,40,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,January,2013
13123066,TRUE,1/31/13,0,2,0,0,B - SUSPECTED MINOR INJURY,0,2,0,29.46174497,-98.64152228,CULEBRA RD,7799,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,58,0,B - BLACK,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,January,2013
13108237,TRUE,2/2/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.35021499,-98.48587232,CURTIS,7700,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,56,0,W - WHITE,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,February,2013
13108638,FALSE,2/2/13,0,0,3,1,C - POSSIBLE INJURY,0,1,0,29.48182394,-98.35786999,FM0078,6606,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,62,0,B - BLACK,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13108636,FALSE,2/3/13,0,0,2,0,A - SUSPECTED SERIOUS INJURY,2,2,0,29.53409768,-98.41477948,PERRIN CENTRAL BLVD,3900,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,64,0,W - WHITE,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13108636,FALSE,2/3/13,0,0,2,0,A - SUSPECTED SERIOUS INJURY,2,2,0,29.53409768,-98.41477948,PERRIN CENTRAL BLVD,3900,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,67,0,H - HISPANIC,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13113369,FALSE,2/3/13,0,0,2,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.36415419,-98.59055059,FM2536,4814,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,39,0,H - HISPANIC,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13108723,FALSE,2/4/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.46408496,-98.52323231,W ROSEWOOD AVE,1600,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,51,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13112903,FALSE,2/4/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.47138337,-98.57460102,SS0421,1841,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,49,0,B - BLACK,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,February,2013
13114103,TRUE,2/4/13,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,0,29.44064497,-98.49417231,W CYPRESS ST,100,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,54,0,W - WHITE,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,February,2013
